seed,n,k,order,sigma_true,hol_rate,abs_err,rel_err
1,512,3,3,0.033465235305059446,0.07455746197092306,0.04109222666586361,1.2279078957992886
1,512,4,3,1.0826374008725699,1.0528014501122154,0.0298359507603545,0.02755858123533116
1,512,5,3,0.3993414956891258,0.4044220009555808,0.005080505266454982,0.012722207236910806
1,2048,3,3,0.033465235305059446,0.0496282184067095,0.016162983101650055,0.48297831927111695
1,2048,4,3,1.0826374008725699,1.0387732558131098,0.043864145059460125,0.040516007505474204
1,2048,5,3,0.3993414956891258,0.4196832439648397,0.02034174827571389,0.050938228296588714
1,8192,3,3,0.033465235305059446,0.033986394765364025,0.0005211594603045794,0.015573159894255631
1,8192,4,3,1.0826374008725699,1.0797834893327332,0.0028539115398367176,0.002636073294287228
1,8192,5,3,0.3993414956891258,0.39827462836944805,0.0010668673196777556,0.002671566394162746
1,32768,3,3,0.033465235305059446,0.03766825069775859,0.0042030153926991415,0.12559348094778547
1,32768,4,3,1.0826374008725699,1.0626610352192676,0.019976365653302297,0.018451575418696978
1,32768,5,3,0.3993414956891258,0.4024914577663259,0.003149962077200086,0.007887890718104154
2,512,3,3,0.29404690825532076,0.3380905279547952,0.04404361969947446,0.14978433189724752
2,512,4,3,0.15437061261808682,0.14857444385905594,0.005796168759030884,0.03754709954653491
2,512,5,3,0.5423597431785083,0.7101388964429796,0.16777915326447124,0.30935030738306407
2,2048,3,3,0.29404690825532076,0.33030472630999697,0.036257818054676205,0.12330623800741874
2,2048,4,3,0.15437061261808682,0.14086086637230189,0.013509746245784937,0.0875150134903466
2,2048,5,3,0.5423597431785083,0.583442759968186,0.04108301678967763,0.0757486471044291
2,8192,3,3,0.29404690825532076,0.2649838027106539,0.029063105544666845,0.09883833064971854
2,8192,4,3,0.15437061261808682,0.17415132151594137,0.01978070889785455,0.1281377884195618
2,8192,5,3,0.5423597431785083,0.5678444845461139,0.02548474136760559,0.04698863012629189
2,32768,3,3,0.29404690825532076,0.2830831324816929,0.010963775773627837,0.03728580531140289
2,32768,4,3,0.15437061261808682,0.15124657048136858,0.0031240421367182414,0.020237285346836883
2,32768,5,3,0.5423597431785083,0.5492385145319569,0.0068787713534486095,0.012683041910772092
3,512,3,3,0.0066908750544947635,0.00757847410714696,0.0008875990526521962,0.13265814193554984
3,512,4,3,1.3677304588275474,1.5288841751981657,0.16115371637061826,0.11782563978926318
3,512,5,3,0.3805912237519513,0.37409051136549376,0.006500712386457552,0.017080563031307214
3,2048,3,3,0.0066908750544947635,0.01052073651667551,0.003829861462180747,0.5724006846620072
3,2048,4,3,1.3677304588275474,1.213004789839291,0.15472566898825635,0.1131258487296474
3,2048,5,3,0.3805912237519513,0.3595798351396118,0.021011388612339532,0.05520723364349992
3,8192,3,3,0.0066908750544947635,0.008762196110949194,0.0020713210564544306,0.30957401529460166
3,8192,4,3,1.3677304588275474,1.3096982050562544,0.05803225377129295,0.04242959816880853
3,8192,5,3,0.3805912237519513,0.3972617880428726,0.016670564290921286,0.04380175697846952
3,32768,3,3,0.0066908750544947635,0.007897595592153417,0.0012067205376586534,0.18035317171974516
3,32768,4,3,1.3677304588275474,1.3627982755105643,0.004932183316983085,0.003606107683827613
3,32768,5,3,0.3805912237519513,0.3806115321781831,2.0308426231796517e-05,5.336020634315111e-05
4,512,3,3,0.03913704698641177,0.08677596210579663,0.04763891511938486,1.2172332556394687
4,512,4,3,0.06220668390902151,0.062068265183430116,0.0001384187255913938,0.0022251423302652473
4,512,5,3,1.4810299254642643,1.309222042236976,0.17180788322728824,0.11600567974575594
4,2048,3,3,0.03913704698641177,0.07288835967202734,0.03375131268561556,0.8623878213737967
4,2048,4,3,0.06220668390902151,0.06309313228835611,0.0008864483793346034,0.014250050374507207
4,2048,5,3,1.4810299254642643,1.5017497510573958,0.02071982559313157,0.013990146476369439
4,8192,3,3,0.03913704698641177,0.04675630076238324,0.007619253775971467,0.19468136619037307
4,8192,4,3,0.06220668390902151,0.06516756942310065,0.002960885514079137,0.04759754624454005
4,8192,5,3,1.4810299254642643,1.5452217146008747,0.06419178913661039,0.04334266852608527
4,32768,3,3,0.03913704698641177,0.04639291714909932,0.0072558701626875485,0.185396465022176
4,32768,4,3,0.06220668390902151,0.062044369238859254,0.00016231467016225576,0.0026092802246080846
4,32768,5,3,1.4810299254642643,1.4877123436772617,0.006682418212997421,0.004512007555082087
5,512,3,3,0.5001569589791126,0.49516090051699657,0.0049960584621160375,0.009988981203647876
5,512,4,3,0.6987197289074902,0.7703388315598425,0.07161910265235227,0.10250047292114542
5,512,5,3,1.9160613037976237,1.8475921449763497,0.06846915882127402,0.03573432576795351
5,2048,3,3,0.5001569589791126,0.5523858257894663,0.05222886681035366,0.1044249527527514
5,2048,4,3,0.6987197289074902,0.7625298542131203,0.06381012530563002,0.09132435033057212
5,2048,5,3,1.9160613037976237,1.762689003930615,0.15337229986700884,0.08004561209133848
5,8192,3,3,0.5001569589791126,0.517559015485914,0.017402056506801378,0.03479319080618474
5,8192,4,3,0.6987197289074902,0.659863196432644,0.03885653247484622,0.055611042406948814
5,8192,5,3,1.9160613037976237,1.8416419592776891,0.0744193445199346,0.038839751302547486
5,32768,3,3,0.5001569589791126,0.5202703470948946,0.020113388115782005,0.04021415228698632
5,32768,4,3,0.6987197289074902,0.699267913125682,0.0005481842181918051,0.0007845552308204312
5,32768,5,3,1.9160613037976237,1.9165834941656297,0.000522190368005937,0.00027253322582683465
1,16384,4,3,1.0826374008725699,1.076275105933421,0.00636229493914886,0.005876662799586511
2,16384,4,3,0.15437061261808682,0.15809533427274602,0.003724721654659202,0.02412843734625949
3,16384,4,3,1.3677304588275474,1.343053080553536,0.024677378274011508,0.018042574189044213
